,country_id,country_title,region_id,region_title,town_id,town_title
355,1.0,Россия,46.0,Московская область,5172,"Снопово (Московская об, Солнечногорский)"
356,1.0,Россия,46.0,Московская область,4871,Соболево (Московская область)
357,1.0,Россия,46.0,Московская область,4115,Соболиха (Московская область)
358,1.0,Россия,46.0,Московская область,2660,Совхоз им. Ленина
359,1.0,Россия,46.0,Московская область,852,Солнечногорск
360,1.0,Россия,46.0,Московская область,3554,"Солнцево (Щелково, Московская область)"
361,1.0,Россия,46.0,Московская область,3844,"Сосенки (НАО, Москва)"
362,1.0,Россия,46.0,Московская область,4531,"Сосны (Московская об, Одинцовский р.)"
363,1.0,Россия,46.0,Московская область,1580,Софрино
364,1.0,Россия,46.0,Московская область,2175,Софьино
365,1.0,Россия,46.0,Московская область,1505,Старая Купавна
366,1.0,Россия,46.0,Московская область,4913,Старая Руза
367,1.0,Россия,46.0,Московская область,2767,Старая Слобода
368,1.0,Россия,46.0,Московская область,3819,Старый Городок (Московская область)
369,1.0,Россия,46.0,Московская область,4462,Степановское (Красногорский район)
370,1.0,Россия,46.0,Московская область,4571,Степанщино
371,1.0,Россия,46.0,Московская область,2905,Столбовая
372,1.0,Россия,46.0,Московская область,853,Ступино
373,1.0,Россия,46.0,Московская область,4434,Сухарево (Московская обл. Мытищинский р)
374,1.0,Россия,46.0,Московская область,4786,"Таболово (Московская обл., Ленинский рн)"
375,1.0,Россия,46.0,Московская область,4076,Талалихино (Московская область)
376,1.0,Россия,46.0,Московская область,854,Талдом
377,1.0,Россия,46.0,Московская область,2772,Тарасовка
378,1.0,Россия,46.0,Московская область,5371,"Тетерино (Московская обл., Можайский р)"
379,1.0,Россия,46.0,Московская область,2722,Толстопальцево
380,1.0,Россия,46.0,Московская область,1864,Томилино
381,1.0,Россия,46.0,Московская область,2314,Трёхгорка
382,1.0,Россия,46.0,Московская область,1528,Троицк
383,1.0,Россия,46.0,Московская область,4552,"Троицкое (Московская обл., Клинский р.)"
384,1.0,Россия,46.0,Московская область,4290,"Тропарево (Московская обл., Можайский р)"
385,1.0,Россия,46.0,Московская область,4546,"Трошково (Московская обл., Раменский р.)"
386,1.0,Россия,46.0,Московская область,4547,Трошково (Московская область)
387,1.0,Россия,46.0,Московская область,5595,Трусово (Московская область)
388,1.0,Россия,46.0,Московская область,4390,Тураково (Московская область)
389,1.0,Россия,46.0,Московская область,1908,Тучково
390,1.0,Россия,46.0,Московская область,2913,Уваровка
391,1.0,Россия,46.0,Московская область,3467,Удельная
392,1.0,Россия,46.0,Московская область,2909,Узуново
393,1.0,Россия,46.0,Московская область,4141,Усово-Тупик (Московская обл Одинцовский)
394,1.0,Россия,46.0,Московская область,4241,Фаустово (Московская область)
395,1.0,Россия,46.0,Московская область,4426,Фруктовая (Московская область)
396,1.0,Россия,46.0,Московская область,1694,Фрязино
397,1.0,Россия,46.0,Московская область,1977,Фряново
398,1.0,Россия,46.0,Московская область,4425,Хатунь (Московская область)
399,1.0,Россия,46.0,Московская область,1398,Химки
400,1.0,Россия,46.0,Московская область,5173,"Хлюпино (Московская об, Одинцовский р)"
401,1.0,Россия,46.0,Московская область,4347,Хметьево (Московская область)
402,1.0,Россия,46.0,Московская область,4897,Хорлово (Московская область)
403,1.0,Россия,46.0,Московская область,3866,Хоругвино (Солнечногорск)
404,1.0,Россия,46.0,Московская область,1579,Хотьково
405,1.0,Россия,46.0,Московская область,4244,"Чайковского (Московская обл, Клинский р)"
406,1.0,Россия,46.0,Московская область,3657,"Часцы (Одинцовский р-н, МО)"
